artist_id,artist_name,avg_track_popularity,song_portfolio_score
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,82.9,36.339581036383684
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,67.9,29.72436604189636
0sSxphmGskGCKlwB9xa6WU,Himesh Reshammiya,63.9,27.960308710033072
5C4PDR4LnhZTbVnKWXuDKD,Morat,74.2,32.50275633958103
4IMAo2UQchVFyPH24PAjUs,Jowell & Randy,61.8,27.03417861080485
35U9lQaRWSQISxQAB94Meo,America,68.2,29.85667034178611
5vSQUyT33qxr1xAX2Tkf3A,Clams Casino,52.9,23.10915104740904
12CpR4SNDzVIlDoPSeNFeW,Shashaa Tirupati,58.5,25.57883131201764
49tQo2QULno7gxHutgccqF,LANY,67.9,29.72436604189636
2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,64.5,28.224917309812568
2CCgb0KApjfQDuTppovpf8,Rvfv,67.4,29.50385887541345
3CkvROUTQ6nRi9yQOcsB50,Genesis,68.0,29.768467475192942
6HHje5tfmzWK8PsSaoJ9Xp,SAMSONS,57.1,24.96141124586549
1vCWHaC5f2uS3yhpwWbIA6,Avicii,76.3,33.42888643880926
66ihevNkSYNzRAl44dx6jJ,Carín León,77.3,33.86990077177508
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,64.3,28.136714443219404
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,76.3,33.42888643880926
7CvTknweLr9feJtRGrpDBy,FloyyMenor,72.0,31.53252480705623
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,66.9,29.28335170893054
5s27i7oqhNWIcE4HeoVdq0,MC GP,63.8,27.916207276736493
7Ez6lTtSMjMf2YSYpukP1I,Dasha,62.3,27.25468577728776
4F4pp8NUW08JuXwnoxglpN,Bad Gyal,68.9,30.16538037486218
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,65.0,28.44542447629548
59jlthNnbmim5l9tmNA7se,Maiara & Maraisa,65.5,28.66593164277839
2R21vXR83lH98kGeO99Y66,Anuel AA,78.7,34.48732083792723
4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi,68.1,29.81256890848952
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,72.6,31.79713340683572
0UWZUmn7sybxMCqrw9tGa7,Juanes,70.8,31.00330760749724
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,71.8,31.444321940463063
6wWVKhxIU2cEi0K81v7HvP,Rammstein,68.0,29.768467475192942
5TYxZTjIPqKM8K8NuP9woO,C. Tangana,68.4,29.94487320837927
0U7iI0Dk4Ojvi17nZboNO4,Vacations,65.3,28.577728776185225
3tAICgiSR5PfYY4B8qsoAU,Andrés Calamaro,62.6,27.386990077177508
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,82.3,36.07497243660419
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,71.1,31.135611907386988
3UTF2no3muGdiFXVujl94i,Kapo,74.7,32.723263506063944
2MqhkhX4npxDZ62ObR5ELO,Hoobastank,54.1,23.638368246968025
20zafXaLhm5IcXnSU93rNn,Nadin Amizah,73.7,32.28224917309812
5hdhHgpxyniooUiQVaPxQ0,Nio Garcia,63.1,27.60749724366042
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,76.1,33.34068357221609
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,74.2,32.50275633958103
7bu3H8JO7d0UbMoVzbo70s,The Cure,63.9,27.960308710033072
4bw2Am3p9ji3mYsXNXtQcd,Piso 21,72.5,31.75303197353914
1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas,57.6,25.181918412348402
28QnIZpWxKcxuSk4iRLUgX,Mc Morena,63.9,27.960308710033072
5aMmmNxw4vgpc5XC6hK0zp,The Calling,49.2,21.477398015435504
6OBGbSaBUvQtk9wpQfDbOE,Kevin Kaarl,71.9,31.48842337375965
