rank,artist_name,artist_url,listeners,daily_change,peak_rank,peak_listeners
144,TiÃ«sto,https://kworb.net/spotify/artist/2o5jDhtHVPhrJdv3cEQ99Z_albums.html,"34,702,696","14,617",38,"53,621,311"
145,BeÃ©le,https://kworb.net/spotify/artist/7a0XAaPaK2aDSqa8p3QnC7_albums.html,"34,554,909","135,400",94,"39,921,365"
146,Ty Dolla $ign,https://kworb.net/spotify/artist/7c0XG5cIJTrrAgEC3ULPiq_albums.html,"34,452,944","35,959",40,"52,532,512"
147,Nicky Jam,https://kworb.net/spotify/artist/1SupJlEpv7RS2tPNRaHViT_albums.html,"34,351,478","16,585",110,"37,547,038"
148,Swae Lee,https://kworb.net/spotify/artist/1zNqQNIdeOUZHb8zbZRFMX_albums.html,"34,261,854","3,424",51,"47,431,521"
149,Zara Larsson,https://kworb.net/spotify/artist/1Xylc3o4UrD53lo9CvFvVg_albums.html,"34,170,357","134,394",148,"34,170,357"
150,Ovy On The Drums,https://kworb.net/spotify/artist/3m5qlPf2OkihLz3dRYnkPA_albums.html,"34,060,401","170,733",99,"38,983,123"
151,Tyla,https://kworb.net/spotify/artist/3SozjO3Lat463tQICI9LcE_albums.html,"33,580,067","524,788",112,"34,775,358"
152,Anitta,https://kworb.net/spotify/artist/7FNnA9vBm6EKceENgCGRMb_albums.html,"33,556,644","11,149",99,"45,678,504"
153,Gunna,https://kworb.net/spotify/artist/2hlmm7s2ICUX0LVIhVFlZQ_albums.html,"33,537,568","68,608",65,"43,236,433"
154,Kali Uchis,https://kworb.net/spotify/artist/1U1el3k54VvEUzo3ybLPlM_albums.html,"33,517,194","-1,666",49,"48,511,206"
155,KATSEYE,https://kworb.net/spotify/artist/3c0gDdb9lhnHGFtP4prQpn_albums.html,"33,474,802","14,898",145,"34,058,050"
156,The Beatles,https://kworb.net/spotify/artist/3WrFJ7ztbogyGnTHbHJFl2_albums.html,"33,407,385","28,710",78,"37,399,629"
157,Lord Huron,https://kworb.net/spotify/artist/6ltzsmQQbmdoHHbLZ4ZN25_albums.html,"33,363,966","91,305",140,"34,820,218"
158,Bizarrap,https://kworb.net/spotify/artist/716NhGYqD1jl2wI1Qkgq36_albums.html,"33,285,049","-32,320",28,"54,300,662"
159,Tom Odell,https://kworb.net/spotify/artist/2txHhyCwHjUEpJjWrEyqyX_albums.html,"33,269,683","92,327",87,"38,447,142"
160,Irshad Kamil,https://kworb.net/spotify/artist/3GdSQUH1BRtl9UrrtuwJlP_albums.html,"33,182,368","43,427",110,"38,606,762"
161,XXXTENTACION,https://kworb.net/spotify/artist/15UsOTVnJzReFVN1VCnxy4_albums.html,"33,153,423","-21,732",67,"42,898,057"
162,Manuel Turizo,https://kworb.net/spotify/artist/0tmwSHipWxN12fsoLcFU3B_albums.html,"33,153,168","77,445",66,"39,587,171"
163,Billy Joel,https://kworb.net/spotify/artist/6zFYqv1mOsgBRQbae3JJ9e_albums.html,"33,140,175","75,721",132,"33,406,304"
164,J. Cole,https://kworb.net/spotify/artist/6l3HvQ5sa6mXTsMTB19rO5_albums.html,"33,045,026","57,588",45,"48,760,887"
165,Udit Narayan,https://kworb.net/spotify/artist/70B80Lwx2sxti0M1Ng9e8K_albums.html,"33,007,526","-5,598",154,"33,534,705"
166,Amitabh Bhattacharya,https://kworb.net/spotify/artist/2fMqTqiTxUDlmcOEPaQSsx_albums.html,"32,995,673","-35,471",141,"34,328,791"
167,Tanishk Bagchi,https://kworb.net/spotify/artist/4f7KfxeHq9BiylGmyXepGt_albums.html,"32,962,759","-13,255",106,"38,964,620"
168,Nelly Furtado,https://kworb.net/spotify/artist/2jw70GZXlAI8QzWeY2bgRc_albums.html,"32,947,896","-62,950",141,"34,576,866"
169,Morgan Wallen,https://kworb.net/spotify/artist/4oUHIQIBe0LHzYfvXNW4QM_albums.html,"32,893,125","81,261",59,"46,385,773"
170,Tinashe,https://kworb.net/spotify/artist/0NIIxcxNHmOoyBx03SfTCD_albums.html,"32,647,429","-3,808",152,"33,579,056"
171,Laufey,https://kworb.net/spotify/artist/7gW0r5CkdEUMm42w9XpyZO_albums.html,"32,569,012","444,032",89,"43,026,697"
172,P!nk,https://kworb.net/spotify/artist/1KCSPY1glIKqW2TotWuXOR_albums.html,"32,480,058","-13,901",68,"37,814,655"
173,Lewis Capaldi,https://kworb.net/spotify/artist/4GNC7GD6oZMSxPGyXy4MNB_albums.html,"32,210,526","-91,329",66,"37,776,153"
174,Charli xcx,https://kworb.net/spotify/artist/25uiPmTg16RbhZWAqwLBy5_albums.html,"31,947,608","84,636",56,"46,491,335"
175,Elvis Presley,https://kworb.net/spotify/artist/43ZHCT0cAZBISjO8DG9PnE_albums.html,"31,699,581","469,511",57,"52,355,319"
176,Metallica,https://kworb.net/spotify/artist/2ye2Wgw4gimLv2eAKyk1NB_albums.html,"31,677,428","89,150",144,"31,677,428"
177,Vishal-Shekhar,https://kworb.net/spotify/artist/6Mv8GjQa7LKUGCAqa9qqdb_albums.html,"31,609,181","30,860",160,"31,768,854"
178,Pharrell Williams,https://kworb.net/spotify/artist/2RdwBSPQiwcmiDo9kixcl8_albums.html,"31,466,947","26,528",89,"41,485,126"
179,ZAYN,https://kworb.net/spotify/artist/5ZsFI1h6hIdQRw2ti0hz81_albums.html,"31,134,398","-87,443",124,"36,072,526"
180,Bebe Rexha,https://kworb.net/spotify/artist/64M6ah0SkkRsnPGtGiRAbb_albums.html,"31,104,966","-44,538",37,"49,496,274"
181,Anne-Marie,https://kworb.net/spotify/artist/1zNqDE7qDGCsyzJwohVaoX_albums.html,"31,060,425","-102,061",61,"41,501,481"
182,Bon Jovi,https://kworb.net/spotify/artist/58lV9VcRSjABbAbfWS6skp_albums.html,"31,037,795","-20,371",143,"31,750,399"
183,Eagles,https://kworb.net/spotify/artist/0ECwFtbIWEVNwjlrfc6xoL_albums.html,"31,026,227","426,348",104,"38,461,042"
184,ROSÃ,https://kworb.net/spotify/artist/3eVa5w3URK5duf6eyVDbu9_albums.html,"30,946,931","232,135",17,"71,124,800"
185,Demi Lovato,https://kworb.net/spotify/artist/6S2OmqARrzebs0tKUEyXyp_albums.html,"30,927,081","-74,812",98,"33,320,815"
186,Dean Martin,https://kworb.net/spotify/artist/49e4v89VmlDcFCMyDv9wQ9_albums.html,"30,759,900","945,866",35,"61,464,079"
187,Lil Baby,https://kworb.net/spotify/artist/5f7VJjfbwm532GiveGC0ZK_albums.html,"30,591,726","169,348",76,"41,194,598"
188,Juice WRLD,https://kworb.net/spotify/artist/4MCBfE4596Uoi2O4DtmEMz_albums.html,"30,502,438","60,443",92,"39,483,073"
189,Enrique Iglesias,https://kworb.net/spotify/artist/7qG3b048QCHVRO5Pv1T5lw_albums.html,"30,494,354","-11,662",122,"35,272,755"
190,Atif Aslam,https://kworb.net/spotify/artist/2oSONSC9zQ4UonDKnLqksx_albums.html,"30,474,387","60,113",185,"30,474,387"
191,Ava Max,https://kworb.net/spotify/artist/4npEfmQ6YuiwW1GpUmaq3F_albums.html,"30,341,158","-23,415",85,"42,954,408"
